tic;date;year;month;cusip;prc;shrout;ret;retx;n
BA;2013-10-31;2013;10;9702310;130.5;751453;0.110638;0.110638;120
BA;2013-11-29;2013;11;9702310;134.25;751453;0.032452;0.028736;120
BA;2013-12-31;2013;12;9702310;136.49001;751453;0.016685;0.016685;120
BA;2014-01-31;2014;1;9702310;125.26;751453;-0.082277;-0.082277;120
BA;2014-02-28;2014;2;9702310;128.92;743405;0.035047;0.029219;120
BA;2014-03-31;2014;3;9702310;125.49;737077;-0.026606;-0.026606;120
BA;2014-04-30;2014;4;9702310;129.02;729225;0.028130;0.028130;120
BA;2014-05-30;2014;5;9702310;135.25;729225;0.053945;0.048287;120
BA;2014-06-30;2014;6;9702310;127.23;729225;-0.059298;-0.059298;120
BA;2014-07-31;2014;7;9702310;120.48;720613;-0.053054;-0.053054;120
BA;2014-08-29;2014;8;9702310;126.8;720613;0.058516;0.052457;120
BA;2014-09-30;2014;9;9702310;127.38;720613;0.004574;0.004574;120
BA;2014-10-31;2014;10;9702310;124.91;712930;-0.019391;-0.019391;120
BA;2014-11-28;2014;11;9702310;134.36;712930;0.081499;0.075654;120
BA;2014-12-31;2014;12;9702310;129.98;712930;-0.032599;-0.032599;120
CAT;2005-01-31;2005;1;14912310;89.1;341236;-0.082043;-0.086248;120
CAT;2005-02-28;2005;2;14912310;95.05;342937;0.066779;0.066779;120
CAT;2005-03-31;2005;3;14912310;91.44;342937;-0.037980;-0.037980;120
CAT;2005-04-29;2005;4;14912310;88.05;342937;-0.032590;-0.037073;120
CAT;2005-05-31;2005;5;14912310;94.11;341695;0.068824;0.068824;120
CAT;2005-06-30;2005;6;14912310;95.31;341695;0.012751;0.012751;120
CAT;2005-07-29;2005;7;14912310;53.91;683390;0.136502;0.131256;120
CAT;2005-08-31;2005;8;14912310;55.49;676777;0.029308;0.029308;120
CAT;2005-09-30;2005;9;14912310;58.75;676777;0.058749;0.058749;120
CAT;2005-10-31;2005;10;14912310;52.59;676777;-0.100596;-0.104851;120
CAT;2005-11-30;2005;11;14912310;57.78;680208;0.098688;0.098688;120
CAT;2005-12-30;2005;12;14912310;57.77;680208;-0.000173;-0.000173;120
CAT;2006-01-31;2006;1;14912310;67.9;680208;0.179678;0.175351;120
CAT;2006-02-28;2006;2;14912310;73.08;670867;0.076289;0.076289;120
CAT;2006-03-31;2006;3;14912310;71.81;670867;-0.017378;-0.017378;120
CAT;2006-04-28;2006;4;14912310;75.74;666000;0.058209;0.054728;120
CAT;2006-05-31;2006;5;14912310;72.95;666000;-0.036837;-0.036837;120
CAT;2006-06-30;2006;6;14912310;74.48;666000;0.020973;0.020973;120
CAT;2006-07-31;2006;7;14912310;70.87;666000;-0.044441;-0.048469;120
CAT;2006-08-31;2006;8;14912310;66.35;655748;-0.063779;-0.063779;120
CAT;2006-09-29;2006;9;14912310;65.8;655748;-0.008289;-0.008289;120
CAT;2006-10-31;2006;10;14912310;60.71;655748;-0.072796;-0.077356;120
CAT;2006-11-30;2006;11;14912310;62.03;650534;0.021743;0.021743;120
CAT;2006-12-29;2006;12;14912310;61.33;650534;-0.011285;-0.011285;120
CAT;2007-01-31;2007;1;14912310;64.07;650534;0.049568;0.044676;120
CAT;2007-02-28;2007;2;14912310;64.43;645808;0.005619;0.005619;120
CAT;2007-03-30;2007;3;14912310;67.03;645808;0.040354;0.040354;120
CAT;2007-04-30;2007;4;14912310;72.62;645808;0.087871;0.083396;120
CAT;2007-05-31;2007;5;14912310;78.58;640396;0.082071;0.082071;120
CAT;2007-06-29;2007;6;14912310;78.3;640396;-0.003563;-0.003563;120
CAT;2007-07-31;2007;7;14912310;78.8;640396;0.010983;0.006386;120
CAT;2007-08-31;2007;8;14912310;75.77;639155;-0.038452;-0.038452;120
CAT;2007-09-28;2007;9;14912310;78.43;639155;0.035106;0.035106;120
CAT;2007-10-31;2007;10;14912310;74.61;639155;-0.044116;-0.048706;120
CAT;2007-11-30;2007;11;14912310;71.9;635960;-0.036322;-0.036322;120
CAT;2007-12-31;2007;12;14912310;72.56;635960;0.009179;0.009179;120
CAT;2008-01-31;2008;1;14912310;70.99;635960;-0.016676;-0.021637;120
CAT;2008-02-29;2008;2;14912310;72.33;623986;0.018876;0.018876;120
CAT;2008-03-31;2008;3;14912310;78.29;623986;0.082400;0.082400;120
CAT;2008-04-30;2008;4;14912310;81.88;615133;0.050453;0.045855;120
CAT;2008-05-30;2008;5;14912310;82.64;615133;0.009282;0.009282;120
CAT;2008-06-30;2008;6;14912310;73.82;615133;-0.106728;-0.106728;120
CAT;2008-07-31;2008;7;14912310;69.52;608700;-0.052560;-0.058250;120
CAT;2008-08-29;2008;8;14912310;70.73;608716;0.017405;0.017405;120
CAT;2008-09-30;2008;9;14912310;59.6;608716;-0.157359;-0.157359;120
CAT;2008-10-31;2008;10;14912310;38.2;603234;-0.352013;-0.359060;120
CAT;2008-11-28;2008;11;14912310;40.99;603234;0.073037;0.073037;120
CAT;2008-12-31;2008;12;14912310;44.67;603234;0.089778;0.089778;120
CAT;2009-01-30;2009;1;14912310;30.85;603234;-0.299978;-0.309380;120
CAT;2009-02-27;2009;2;14912310;24.61;601527;-0.202269;-0.202269;120
CAT;2009-03-31;2009;3;14912310;27.96;601527;0.136123;0.136123;120
CAT;2009-04-30;2009;4;14912310;35.58;601752;0.287554;0.272532;120
CAT;2009-05-29;2009;5;14912310;35.46;601752;-0.003373;-0.003373;120
CAT;2009-06-30;2009;6;14912310;33.04;601752;-0.068246;-0.068246;120
CAT;2009-07-31;2009;7;14912310;44.06;621294;0.346247;0.333535;120
CAT;2009-08-31;2009;8;14912310;45.31;621294;0.028370;0.028370;120
